id,Strength
5407,47.659052507989074
5408,19.380024143193708
5409,32.4330722113637
5410,46.73459410428654
5411,27.803391489636585
5412,41.37971513996939
5413,31.90324929675893
5414,22.39341948296083
5415,46.87698608971677
5416,36.53036270198559
5417,43.61792963946104
5418,54.84331585171047
5419,41.49770118661877
5420,45.476173335450014
5421,31.655244869819164
5422,25.976199590424404
5423,50.88889515870355
5424,44.199358152576224
5425,38.92870135583408
5426,50.55015555841581
5427,15.115152390218455
5428,18.92668938270681
5429,16.858672987374113
5430,24.910275995896903
5431,19.374233867403277
5432,48.51773366855838
5433,16.759527841405195
5434,39.26864878970695
5435,38.480287202089016
5436,35.47593064768701
5437,40.38150097142483
5438,25.15911174483679
5439,46.28215408415459
5440,35.39239867370319
5441,16.7766839622765
5442,42.157822391317154
5443,34.97868825981457
5444,36.28774359581263
5445,18.94289540370283
5446,40.34517192597218
5447,40.741668337933014
5448,16.234121676054112
5449,53.37682921041587
5450,39.94527464546911
5451,50.98049060008066
5452,22.50149658586399
5453,33.472840477062825
5454,35.28989844319772
5455,40.58556070897759
5456,34.57985042281135
5457,19.69636824007926
5458,34.445509645630075
5459,25.223078776841042
5460,29.87096550300316
5461,25.926038715408993
5462,23.576606828296313
5463,37.339709721384395
5464,34.80665365462309
5465,46.2252942293309
5466,47.198669610276625
5467,41.75671556670754
5468,14.551910312585427
5469,36.13078083166835
5470,15.64630166473793
5471,32.053313501393106
5472,30.36363563605743
5473,22.857344600139786
5474,44.48748823224274
5475,17.74232075873734
5476,49.388063106895615
5477,43.89426806009948
5478,38.195909414749295
5479,20.09874309144491
5480,38.567680948190734
5481,37.24828507690897
5482,35.80541693438589
5483,30.138709796168484
5484,39.49267062877959
5485,46.070530820907535
5486,47.74370211839271
5487,40.737520832094866
5488,38.22880266740106
5489,46.48372265897678
5490,39.97002923957091
5491,17.98896431194775
5492,47.5676086212918
5493,33.410096570725514
5494,40.793619017155635
5495,25.333654724613037
5496,41.54253718366456
5497,38.688233366547735
5498,42.219216342176225
5499,49.412074056002666
5500,38.33202014910192
5501,26.518236552948707
5502,39.410512030649556
5503,17.85419908603194
5504,50.68854003586047
5505,37.24096992470561
5506,38.450176920205735
5507,42.467523835240776
5508,34.58763446060257
5509,39.06940626665467
5510,48.235809541227596
5511,39.476462022266276
5512,18.42029844295394
5513,44.56688448223356
5514,13.239164548355014
5515,39.30257834295674
5516,53.37682921041587
5517,37.27440422907472
5518,41.7389343640616
5519,18.399213057283028
5520,48.51773366855838
5521,39.29934140015284
5522,28.76141868952916
5523,38.966868304016465
5524,13.279757283849273
5525,34.02956614759313
5526,13.040611212696668
5527,34.2003095364335
5528,28.550434149979978
5529,50.55462878208331
5530,39.35184052761495
5531,46.33855709522353
5532,54.649936450637185
5533,26.518559909722267
5534,43.50081755159059
5535,12.097087696774716
5536,55.73865028749111
5537,14.608643607679046
5538,41.84313903009358
5539,17.40140107720514
5540,23.829482040231582
5541,40.99810427579648
5542,23.70447540400533
5543,54.94355481391501
5544,18.85402810471967
5545,37.503498691722946
